Cement %,Iron Ore %,Fine Aggregate %,WFS %,Target
70.0,30,50.0,50,1.04
60.0,40,90.0,10,3.1
,0,,0,5.2
60.0,40,90.0,10,2.404
70.0,30,60.0,40,2.32
60.0,40,90.0,10,2.7
60.0,40,50.0,50,1.05
50.0,50,90.0,10,1.9
,0,,0,4.47
70.0,30,90.0,10,2.89
50.0,50,90.0,10,2.6
50.0,50,90.0,10,2.23
70.0,30,80.0,20,2.73
70.0,30,60.0,40,1.78
50.0,50,80.0,20,1.65
70.0,30,90.0,10,3.29
50.0,50,50.0,50,1.15
60.0,40,70.0,30,1.13
70.0,30,90.0,10,3.69
50.0,50,70.0,30,1.19
50.0,50,80.0,20,2.1
60.0,40,70.0,30,2.0
50.0,50,60.0,40,1.12
70.0,30,60.0,40,2.17
60.0,40,70.0,30,1.56
60.0,40,80.0,20,1.63
,0,,0,4.24
60.0,40,80.0,20,1.7
70.0,30,70.0,30,2.05
50.0,50,50.0,50,1.25
70.0,30,50.0,50,2.15
60.0,40,50.0,50,1.5
50.0,50,70.0,30,1.61
